id,date,qfq,hfq,last_update
000008.SZ,20180816,0.994595,0.000000,2025-08-12 13:35:24
000008.SZ,20180828,0.994845,0.000000,2025-08-12 13:35:24
000008.SZ,20190628,0.997347,0.000000,2025-08-12 13:35:24
000008.SZ,20200102,0.997305,0.000000,2025-08-12 13:35:24
000008.SZ,20200529,1.000000,0.000000,2025-08-12 13:35:24
000008.SZ,20210107,1.000000,0.000000,2025-08-12 13:35:24
000008.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000008.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000009.SZ,20080516,0.390756,0.000000,2025-08-12 13:35:24
000009.SZ,20090806,0.422170,0.000000,2025-08-12 13:35:24
000009.SZ,20100827,0.418473,0.000000,2025-08-12 13:35:24
000009.SZ,20110803,0.432258,0.000000,2025-08-12 13:35:24
000009.SZ,20130726,0.485658,0.000000,2025-08-12 13:35:24
000009.SZ,20160721,0.813208,0.000000,2025-08-12 13:35:24
000009.SZ,20170816,0.809693,0.000000,2025-08-12 13:35:24
000009.SZ,20180727,0.798419,0.000000,2025-08-12 13:35:24
000009.SZ,20180816,0.794872,0.000000,2025-08-12 13:35:24
000009.SZ,20180828,0.795745,0.000000,2025-08-12 13:35:24
000009.SZ,20190722,0.964444,0.000000,2025-08-12 13:35:24
000009.SZ,20200813,0.982478,0.000000,2025-08-12 13:35:24
000009.SZ,20210107,0.981457,0.000000,2025-08-12 13:35:24
000009.SZ,20210826,0.995891,0.000000,2025-08-12 13:35:24
000009.SZ,20220831,0.994580,0.000000,2025-08-12 13:35:24
000009.SZ,20230601,0.993300,0.000000,2025-08-12 13:35:24
000009.SZ,20230803,0.996488,0.000000,2025-08-12 13:35:24
000009.SZ,20240726,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20130719,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20180816,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20180828,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20200102,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20210107,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000010.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000011.SZ,20091103,0.662633,0.000000,2025-08-12 13:35:24
000011.SZ,20091123,0.715111,0.000000,2025-08-12 13:35:24
000011.SZ,20140620,0.506934,0.000000,2025-08-12 13:35:24
000011.SZ,20150609,0.848192,0.000000,2025-08-12 13:35:24
000011.SZ,20160524,0.762684,0.000000,2025-08-12 13:35:24
000011.SZ,20170526,0.847619,0.000000,2025-08-12 13:35:24
000011.SZ,20180629,0.781391,0.000000,2025-08-12 13:35:24
000011.SZ,20180816,0.784698,0.000000,2025-08-12 13:35:24
000011.SZ,20180828,0.799003,0.000000,2025-08-12 13:35:24
000011.SZ,20190516,0.794175,0.000000,2025-08-12 13:35:24
000011.SZ,20200102,0.777077,0.000000,2025-08-12 13:35:24
000011.SZ,20200518,0.800227,0.000000,2025-08-12 13:35:24
000011.SZ,20210107,0.841584,0.000000,2025-08-12 13:35:24
000011.SZ,20210430,0.884615,0.000000,2025-08-12 13:35:24
000011.SZ,20220711,0.942637,0.000000,2025-08-12 13:35:24
000011.SZ,20230601,0.928875,0.000000,2025-08-12 13:35:24
000011.SZ,20230710,0.966414,0.000000,2025-08-12 13:35:24
000011.SZ,20240617,1.000000,0.000000,2025-08-12 13:35:24
000011.SZ,20240625,1.000000,0.000000,2025-08-12 13:35:24
000011.SZ,20240626,1.000000,0.000000,2025-08-12 13:35:24
000012.SZ,20080610,0.256632,0.000000,2025-08-12 13:35:24
000012.SZ,20090703,0.261371,0.000000,2025-08-12 13:35:24
000012.SZ,20100514,0.500840,0.000000,2025-08-12 13:35:24
000012.SZ,20110603,0.563247,0.000000,2025-08-12 13:35:24
000012.SZ,20120525,0.484083,0.000000,2025-08-12 13:35:24
000012.SZ,20130530,0.534211,0.000000,2025-08-12 13:35:24
000012.SZ,20140508,0.472954,0.000000,2025-08-12 13:35:24
000012.SZ,20150508,0.605854,0.000000,2025-08-12 13:35:24
000012.SZ,20160519,0.593985,0.000000,2025-08-12 13:35:24
000012.SZ,20170719,0.685941,0.000000,2025-08-12 13:35:24
000012.SZ,20180627,0.729675,0.000000,2025-08-12 13:35:24
000012.SZ,20180816,0.730223,0.000000,2025-08-12 13:35:24
000012.SZ,20180828,0.730223,0.000000,2025-08-12 13:35:24
000012.SZ,20190626,0.801418,0.000000,2025-08-12 13:35:24
000012.SZ,20200701,0.842857,0.000000,2025-08-12 13:35:24
000012.SZ,20210107,0.893939,0.000000,2025-08-12 13:35:24
000012.SZ,20210617,0.931070,0.000000,2025-08-12 13:35:24
000012.SZ,20220624,0.938158,0.000000,2025-08-12 13:35:24
000012.SZ,20230601,0.923203,0.000000,2025-08-12 13:35:24
000012.SZ,20230714,0.945578,0.000000,2025-08-12 13:35:24
000012.SZ,20240625,0.936382,0.000000,2025-08-12 13:35:24
000012.SZ,20240626,0.937500,0.000000,2025-08-12 13:35:24
000012.SZ,20240716,0.985685,0.000000,2025-08-12 13:35:24
000012.SZ,20250723,1.000000,0.000000,2025-08-12 13:35:24
000014.SZ,20080717,0.764331,0.000000,2025-08-12 13:35:24
000014.SZ,20090717,0.795107,0.000000,2025-08-12 13:35:24
000014.SZ,20100813,0.787217,0.000000,2025-08-12 13:35:24
000014.SZ,20110718,0.764059,0.000000,2025-08-12 13:35:24
000014.SZ,20120618,0.759680,0.000000,2025-08-12 13:35:24
000014.SZ,20130614,0.772985,0.000000,2025-08-12 13:35:24
000014.SZ,20140610,0.775141,0.000000,2025-08-12 13:35:24
000014.SZ,20150617,0.817495,0.000000,2025-08-12 13:35:24
000014.SZ,20160620,0.805621,0.000000,2025-08-12 13:35:24
000014.SZ,20170619,0.808219,0.000000,2025-08-12 13:35:24
000014.SZ,20180622,0.803947,0.000000,2025-08-12 13:35:24
000014.SZ,20180816,0.792052,0.000000,2025-08-12 13:35:24
000014.SZ,20180828,0.791971,0.000000,2025-08-12 13:35:24
000014.SZ,20190619,0.792453,0.000000,2025-08-12 13:35:24
