stock_id,period_start,period_end,duration_weeks,price_change_pct,price_range_pct,convergence_ratio,ma20_slope,ma60_slope,position_in_range,close_to_ma20,volume_ratio,amount_ratio,volume_trend,amount_trend,avg_volume,avg_amount,max_return,min_return,final_return,is_profitable
600388.SH,20090327,20090403,2,246.78960610681807,246.78960610681807,0.07307727501235714,10.350354982469751,2.8928938585508095,1.0,300.57147593949145,0.8652438085058339,1.3928648277134104,-0.18532448380092229,-0.15334096597722285,37305411.5,749214500.0,8.038422649140553,2.0728008088978758,3.5894843276036257,False
600388.SH,20100611,20100806,9,52.33190235740025,52.33190235740025,0.07822029196344796,0.32943972397498683,0.8005073585652247,1.0,26.286942606844875,0.5815937139043468,1.2846260516143335,0.3653956622708646,0.4780218171056343,25075698.444444444,690993444.4444444,6.711635750421601,-2.2934232715008407,2.664418212478942,False
600388.SH,20110201,20111014,36,-19.632665232191357,30.018230234293476,0.060299378001564805,-0.4285608320156589,0.29664952853387516,0.023382395123380535,-9.580043029913485,0.2543689842662385,0.5856164910886785,0.0010361712725525942,-0.2585892529900248,10967243.611111112,314999961.1111111,24.84716157205242,-10.349344978165922,9.519650655021843,True
600388.SH,20111028,20130301,68,64.43737358432043,85.65612338142894,0.07052135071077265,-0.07748414055802226,-0.1720352959663069,1.0,68.21016048246963,0.48019350216720497,1.0072126773428516,2.085643394820006,4.203330395430186,20703778.54411765,541774282.3529412,7.0004861448711795,-19.859017987360232,7.0004861448711795,False
600388.SH,20140411,20150403,52,36.72372335579422,58.820717891313365,0.07746849501815768,0.12403043913289831,0.26077246685357197,1.0,18.44227442010493,1.5073208443541473,3.773562797613144,4.185270655355489,5.889577025601118,64988878.057692304,2029779134.6153846,105.44688775166946,-3.7137905422134234,90.38029505788384,True
600388.SH,20151016,20160129,16,-26.533090467516697,42.25865209471767,0.06425293450859605,-0.24707861455736044,0.864297679653266,0.0,-24.311137522284458,4.521619553421278,6.284279576790414,-0.7706758864347051,-0.8173952338908475,194951846.4375,3380280187.5,16.611570247933884,1.4876033057851217,16.611570247933884,True
600388.SH,20160415,20160506,4,-8.717221828490423,8.717221828490423,0.076469888329707,-1.1763692731656903,0.07809455409023737,0.0,-6.882591093117416,2.2251999543744496,2.4192140928302495,-0.657895676530074,-0.6717273589915469,95940588.25,1301282250.0,-1.8633540372670825,-10.572153607756508,-7.57934918666152,False
600388.SH,20160909,20171027,55,33.89753627409881,44.87746736962725,0.07945136504072281,0.3843612030406982,-0.15722075507707128,0.9966663407150648,16.19729751323129,2.1463570314133693,2.4859060388428813,-0.6403358769230129,-0.5254935569927037,92541236.92727272,1337155489.090909,-3.351955307262565,-14.357541899441337,-5.474860335195514,False
600388.SH,20171124,20180810,38,-22.657144708484285,29.64539455387698,0.0685352548414543,-0.3492647687524387,0.20364541680770284,0.0,-8.975376553698878,1.1457453973452323,1.376853620772466,-0.573378174064176,-0.6664030068439358,49399375.184210524,740602157.8947369,-9.67854237920432,-38.596126364095475,-33.90283665944035,False
600388.SH,20190222,20200515,64,-28.448186713597,35.53353292937801,0.07705626862164612,-0.01663285482148664,-0.22356725607210576,0.0,-10.43620902524105,0.8995681731203271,0.7961139650741851,-0.4705317829837902,-0.6020901927265859,38785323.328125,428225420.3125,9.621047972817353,-3.9682539682539675,4.3130814393967,False
