stock_id,reversal_date,reversal_price,reversal_gain,reversal_duration,price_position_2y,decline_from_peak,ma_convergence,ma20_slope,ma60_slope,ma120_slope,volatility,rsi
000001.SZ,2022-09-30,11.84,0.26266891891891886,14,-0.03560126582278475,0.5250701965503409,0.12227233446639095,-0.010574913320382566,-0.009536742478198218,-0.0003570826639469741,0.03880738549155011,25.05219206680583
000001.SZ,2022-10-14,11.53,0.26799653078924546,12,-0.023682200152788425,0.5375050140393101,0.1275055798612376,-0.01082646317367305,-0.009052696708641962,-0.00040557681045471803,0.03874406636449311,11.564625850340136
000001.SZ,2022-10-21,11.09,0.31830477908025245,11,-0.03283582089552235,0.5551544324107501,0.13562561495521114,-0.011016918281215017,-0.008529552080572442,-0.00044559222117784603,0.03884117389859969,11.409395973154346
000001.SZ,2022-10-28,10.42,0.3147792706333973,6,-0.04841040462427745,0.5820296831127156,0.15125261494302056,-0.01105695667470057,-0.008176915568787912,-0.0004921013521214958,0.03916185724565924,13.28125
000001.SZ,2022-11-04,10.82,0.26617375231053597,5,0.027567195037904918,0.5659847573204974,0.1502044125893944,-0.011060175996924765,-0.007974339247344293,-0.0005563603118907511,0.03871760126328433,23.884514435695536
000001.SZ,2023-10-27,10.45,0.26736842105263164,50,0.002316602316602267,0.5528455284552846,0.05116070379618471,-0.005709521352002577,-0.0034338375428930716,-0.006402806600006299,0.03344565212508661,33.96825396825396
000001.SZ,2023-11-03,10.48,0.2637404580152671,49,0.004636785162287519,0.5513698630136986,0.054862363635338904,-0.005886876755573672,-0.00319406547547129,-0.00666578023813105,0.03330567073228244,35.94771241830067
000001.SZ,2023-11-10,10.3,0.2858252427184465,48,-0.009273570324574902,0.5590753424657534,0.0601629460176484,-0.005971587659665612,-0.002951056651750333,-0.006850654594396111,0.033066378589683136,7.758620689655245
000001.SZ,2023-11-17,10.15,0.3048275862068965,47,-0.013032145960034786,0.5346171480972031,0.06557785910166838,-0.006031272319151023,-0.0027689341681701035,-0.006954526818197338,0.032653125083742435,5.761316872427997
000001.SZ,2023-11-24,10.1,0.3112871287128713,46,-0.0044682752457552025,0.5267104029990628,0.06840916097029451,-0.0060298376582168635,-0.002643128387273179,-0.007003920118110873,0.032567442916215904,6.763285024154612
000001.SZ,2023-12-01,9.66,0.26397515527950316,43,-0.039145907473309566,0.5473289597000938,0.07617261462440413,-0.005925232584524589,-0.0026643718370524348,-0.006989895883056614,0.032581183152838734,6.422018348623865
000001.SZ,2023-12-08,9.3,0.3129032258064516,42,-0.03299725022914752,0.5478852698104034,0.08672933744894107,-0.005851028604595848,-0.0028385673155900746,-0.006956058427915031,0.03245897739505426,6.334841628959296
000001.SZ,2023-12-15,9.21,0.3257328990228013,41,-0.007985803016858905,0.5522605736509479,0.09508304569494402,-0.006025332000757687,-0.0030650394372375494,-0.0068589429880074985,0.031764578934826565,2.2624434389140475
000001.SZ,2023-12-22,9.2,0.3271739130434785,40,-0.0008802816901409827,0.5527467185221197,0.10151665510780068,-0.006351796881262159,-0.0032681244876826975,-0.006646538414926526,0.03176514591155799,2.304147465437808
000001.SZ,2023-12-29,9.39,0.3003194888178914,39,0.016710642040457455,0.543509965969859,0.10380394014570109,-0.007000474828155809,-0.003415014349367677,-0.00639028066368677,0.030819128787359113,10.389610389610468
000001.SZ,2024-01-05,9.27,0.3171521035598707,38,0.006156552330694835,0.5493437044239183,0.10815158486156314,-0.007892126909831033,-0.0034517054437372984,-0.006191140598156717,0.030794105334473465,9.128630705394272
000001.SZ,2024-01-12,9.19,0.32861806311207853,37,-0.0008795074758135256,0.5532328633932913,0.1105782164098112,-0.008877530108136075,-0.003356415277323032,-0.006025641961367783,0.0304557981720307,8.97959183673477
000001.SZ,2024-01-19,9.17,0.3315158124318431,36,-0.0017574692442881873,0.5542051531356345,0.11142295793710477,-0.009812037673309302,-0.0031913320295685224,-0.005860864352128003,0.03036838562210547,9.69162995594722
000001.SZ,2024-01-26,9.62,0.26923076923076944,35,0.03947368421052625,0.5323286339329121,0.10396544845166716,-0.01054198669755215,-0.0030296399261633125,-0.005733965250212464,0.02920815348869901,28.879310344827616
000001.SZ,2024-02-02,9.27,0.3171521035598707,34,0.00919963201471938,0.5374251497005988,0.10818102007036207,-0.01089885238692356,-0.0028558617912959874,-0.005690558809319296,0.02878714097291104,26.587301587301624
000001.SZ,2024-03-01,10.49,0.2625357483317445,33,0.12143514259429626,0.47654690618762474,0.07535530507220137,-0.009748029338321806,-0.0029750030722199366,-0.005585603851482547,0.029332107514612186,54.146341463414636
000001.SZ,2024-03-08,10.38,0.27591522157996135,32,0.11131554737810496,0.4820359281437125,0.07135276068698032,-0.008593989312821192,-0.0032097035900800065,-0.005474297362301087,0.029151088131917947,53.36538461538462
000001.SZ,2024-03-22,10.36,0.2783783783783784,30,0.1151984511132623,0.46871794871794875,0.062056764294523364,-0.006141550018561726,-0.003691674318090657,-0.005309476699724405,0.029028450220788413,63.8743455497382
