stock_id,stock_name,date,close,ma_std,ma_bandwidth,position_20d,position_60d,ma60slope,ma20slope,drawdown_20d,drawdown_60d,return_5d,return_10d,return_20d,volatility_5d,volatility_20d,volatility_60d,volume_ratio,close_to_ma5,close_to_ma20,close_to_ma60,ma5_above_ma20,ma20_above_ma60,price_above_ma60,amplitude_20d,label_10,label_15,label_20,label_30,future_max_return
600844.SH,金煤科技,2008-07-30,24.68,0.009332427813773986,0.025033765532144793,0.29692832764505156,0.3358208955223881,0.03978206406077411,0.06799932736368604,0.07703814510097229,0.26503871351995234,-0.041181041181041156,0.007346938775510292,0.011890118901189073,0.00790782166954323,0.02888691160874744,0.042962793914902896,0.22663490665633934,-0.017281197738313193,-0.028518569544765653,-0.040876735042845676,0,0,0,0.11871961102106968,1,1,1,1,0.36061588330632083
600844.SH,金煤科技,2008-11-28,11.22,0.02069683411358139,0.054055258467023054,0.09489051094890509,0.1645569620253165,-0.170944784735381,0.054163437526909455,0.18102189781021888,0.29166666666666663,-0.16765578635014833,-0.16017964071856283,-0.030250648228176247,0.032648868848580266,0.04392633069490467,0.04532121252505981,0.6237961366787913,-0.05998659517426268,-0.08348309099820292,-0.10544149890372718,0,0,0,0.24420677361853818,1,1,1,1,1.3832442067736184
600844.SH,金煤科技,2009-04-29,17.34,0.02688933055522133,0.06819492502883491,0.2709677419354837,0.5720588235294118,0.11823058032829259,-0.022653808137205297,0.11530612244897967,0.14370370370370372,-0.0011520737327188613,-0.07173447537473232,-0.06924315619967791,0.031662952855837805,0.02987641227137033,0.036663294789055306,0.6025380415108764,0.013442431326709341,-0.05207052070520708,0.0021093998324038603,0,1,1,0.17877739331026538,1,1,0,0,0.16782006920415227
600844.SH,金煤科技,2009-09-24,25.41,0.029979419036880704,0.07657746294109942,0.2972972972972973,0.6896235078053261,0.11067802211006961,0.03913667916699905,0.11740187565126776,0.11740187565126776,-0.03236862147753239,-0.022316275490573245,-0.040770101925254765,0.053970186208817196,0.032822803405776854,0.03986013300872727,1.1782138855759154,-0.04452132059863131,-0.024455791453910122,0.03090831637241453,1,1,1,0.18929555293191652,1,0,0,0,0.13301849665486026
600844.SH,金煤科技,2010-01-25,27.98,0.018195655194124572,0.048028353585894655,0.11922141119221451,0.39872611464968133,0.04253394218366997,0.017222477631997805,0.11455696202531648,0.14434250764526,-0.0639009702241552,0.011203469461510629,-0.03149878850813426,0.04646567007704705,0.02827767440658794,0.031454171990776686,1.644808959678804,-0.06006449879064768,-0.027256292587957132,-0.015626374270720375,1,1,0,0.14689063616869202,1,1,0,0,0.16869192280200151
600844.SH,金煤科技,2010-08-20,16.32,0.006285506504104324,0.015829248366013043,0.0786516853932587,0.4372093023255815,-0.03480368021162186,0.03925804759112368,0.09131403118040092,0.18195488721804506,-0.013897280966767345,-0.060449050086355816,-0.0209958008398321,0.024955916548012512,0.020815188246270187,0.03131596374964477,0.8021542016816611,-0.03466225008872581,-0.03067739732129603,-0.020564935584540263,1,1,0,0.10906862745098046,1,1,1,1,1.4662990196078431
600844.SH,金煤科技,2011-03-15,15.72,0.019954678873165547,0.0502014418999154,0.12585034013605478,0.4578059071729959,-0.007062454047448944,0.04986383697999823,0.14051394204483317,0.14051394204483317,-0.07256637168141589,-0.09603220241518118,0.007046764894298674,0.02184418734053056,0.03438434098414487,0.030794445054811798,1.061839236775181,-0.051984079121939454,-0.06261180679785344,-0.016321635292277148,0,1,0,0.18702290076335873,1,1,1,1,0.4745547073791348
600844.SH,金煤科技,2011-08-18,18.58,0.02951878268287607,0.08332436311446001,0.22686567164179036,0.6116941529235378,0.09156638537973741,-0.0018936524768975115,0.12234293811998126,0.12234293811998126,-0.0486431131592423,-0.08337444499259994,-0.05397148676171093,0.018457735544027826,0.02767302253546376,0.025480896652818538,0.4327419175060937,-0.02405714886017449,-0.05997824492170707,0.019907780136134038,0,1,1,0.18030139935414433,1,0,0,0,0.1393972012917117
600844.SH,金煤科技,2012-04-11,15.59,0.02741540126190668,0.06951036989523193,0.2196796338672767,0.5530799475753605,0.05226638927006337,0.0023977265999643583,0.1794736842105263,0.1794736842105263,-0.021957340025094085,-0.15317762085822928,-0.03765432098765431,0.015113856205869395,0.04002189070984455,0.034907142455045184,0.4800021804587857,-0.022815594835151,-0.0792310191063993,-0.01626931126231771,0,1,0,0.2803078896728672,1,1,1,1,0.5702373316228352
600844.SH,金煤科技,2012-08-27,11.12,0.015453028576076123,0.042535971223021656,0.1999999999999995,0.1443037974683541,-0.06115107913669059,0.02074831393101065,0.17014925373134338,0.23310344827586213,-0.08702791461412152,-0.10394842868654319,0.008159564823209342,0.03348416655217885,0.03441186744335015,0.02583434715835178,0.7055602557610716,-0.07518296739853626,-0.0640518474875853,-0.09988667638011993,1,0,0,0.25629496402877694,1,1,1,1,0.70863309352518
600844.SH,金煤科技,2013-03-01,12.32,0.029782099994323935,0.07847673160173163,0.16894977168949807,0.6227180527383368,0.07079896369971102,-0.017334901187270067,0.12871287128712872,0.13117066290550067,-0.016759776536312776,-0.03900156006240252,-0.10138584974471188,0.019035215874396872,0.021324928545329934,0.0304337153588977,1.5318667087984437,-0.0019442644199611882,-0.048868987879255706,0.027851551093621918,0,1,1,0.17775974025974037,1,1,0,0,0.15097402597402593
600844.SH,金煤科技,2013-10-10,8.16,0.027772758878188853,0.07258986928104565,0.1276595744680849,0.5375939849624058,0.013839445579592574,0.031066787549108448,0.1309904153354633,0.1309904153354633,-0.04561403508771933,-0.07272727272727275,-0.012106537530266248,0.017919261642336565,0.019906679876397753,0.027582976441792233,0.756216740854781,-0.028802666031897062,-0.043320241514742994,0.017244961562435112,0,1,1,0.17279411764705885,1,1,1,1,0.34436274509803927
600844.SH,金煤科技,2014-03-07,6.88,0.018319146786007604,0.04830426356589164,0.007812499999999832,0.1951219512195121,-0.032017515336758326,0.020209011004221858,0.15582822085889575,0.22347629796839724,-0.07526881720430112,-0.09711286089238846,-0.008645533141210415,0.021673999802723377,0.02205883892629307,0.02223016881819004,0.5921231837523905,-0.032348804500703175,-0.06654908079506139,-0.07555874053836172,0,0,0,0.186046511627907,1,1,1,1,0.36482558139534893
600844.SH,金煤科技,2014-10-20,6.93,0.02965819966043091,0.07830687830687827,0.19780219780219746,0.6117021276595742,0.07675620664720521,0.023382311387397534,0.0953002610966058,0.0953002610966058,-0.028050490883590462,-0.04807692307692313,-0.050684931506849384,0.009812862727998124,0.01705646388322798,0.016209298702039382,0.506110045320649,-0.008299942759015431,-0.04328018223234629,0.03419972640218869,0,1,1,0.13131313131313133,1,0,0,0,0.1053391053391054
600844.SH,金煤科技,2016-01-04,7.88,0.015273000477379298,0.0428299492385785,0.0,0.45871559633027514,0.10977979274611413,0.020869973033180802,0.16789862724392826,0.18341968911917103,-0.15541264737406213,-0.06745562130177507,-0.0815850815850816,0.053346094718862494,0.039068224880202604,0.040605929862511575,0.7764597750895519,-0.09942857142857144,-0.09498104973010212,-0.08024511234315737,1,1,0,0.201776649746193,1,1,1,0,0.2893401015228427
600844.SH,金煤科技,2016-05-06,6.33,0.011217316204425868,0.03135860979462877,0.013157894736841829,0.49720670391061433,0.01977691638319753,-0.002252590479050994,0.1059322033898305,0.12448132780082992,-0.027649769585253448,-0.03506097560975607,-0.039453717754172946,0.027978143145931774,0.0244779110953989,0.03470056893967693,1.0811150150566406,-0.03594273530307642,-0.04726068633353402,-0.017919478706073994,0,1,0,0.1200631911532385,1,1,1,1,0.5244865718799369
600844.SH,金煤科技,2016-09-14,7.64,0.029178992621814785,0.07054973821989537,0.1891891891891887,0.7345132743362829,0.089198606271777,0.022310913373462398,0.07281553398058259,0.07281553398058259,-0.04738154613466328,-0.023017902813299296,-0.011642949547218673,0.02110193228564921,0.014763008838401717,0.01867859164909442,0.7021163533624918,-0.0172369436583485,-0.02208000000000004,0.047436248971757626,0,1,1,0.09685863874345553,0,0,0,0,0.07853403141361263
600844.SH,金煤科技,2017-03-02,7.56,0.014771079905335457,0.03981481481481484,0.2727272727272728,0.1937499999999998,-0.048792212474462165,-0.0018724173553718955,0.06896551724137927,0.14576271186440679,-0.015625,-0.028277634961439646,0.024390243902439046,0.006134762281446936,0.011010707728541673,0.01460353429196989,0.7810732550978962,-0.007092198581560319,-0.021928973413545536,-0.044851547694251474,0,0,0,0.1018518518518518,1,1,1,0,0.2698412698412699
