stock_id,period_start,period_end,duration_weeks,price_change_pct,price_range_pct,convergence_ratio,ma20_slope,ma60_slope,position_in_range,close_to_ma20,max_return,min_return,final_return,is_profitable
600152.SH,20090417,20090522,6,17.684210526315784,17.684210526315784,0.07092442344248907,2.02174201246189,-1.2867144504273211,1.0,32.182549065973134,10.912343470483004,-7.155635062611805,7.692307692307675,True
600152.SH,20091023,20091120,5,30.091743119266052,33.211009174311926,0.07813370637038129,0.4898789167205852,0.9389817333851568,1.0,27.932154456874837,1.2693935119887163,-12.976022566995768,-3.385049365303257,False
600152.SH,20100319,20100402,3,7.586206896551722,7.586206896551722,0.07846455030338086,1.0690501226778821,0.8613134274230055,1.0,13.528855250709595,2.9487179487179365,-27.05128205128205,-27.05128205128205,False
600152.SH,20100514,20100625,7,-15.053763440860212,15.514592933947771,0.06082185946357678,-0.6853000599002992,0.3111731865805555,0.0297029702970297,-17.438041206330247,23.50813743218806,-14.104882459312837,23.50813743218806,True
600152.SH,20100806,20110415,37,95.17241379310344,95.17241379310344,0.0786976942908873,0.651235422362183,0.35955855388545094,1.0,45.99858128587087,48.233215547703175,2.296819787985865,13.147018641152316,True
600152.SH,20111125,20111209,3,-14.315139031925849,14.315139031925849,0.06762097219656069,-1.7115588239560249,0.24812560091527106,0.0,-23.673225998807386,0.961538461538467,-21.634615384615387,0.961538461538467,False
600152.SH,20130510,20130712,10,-16.666666666666664,26.078431372549026,0.07756976692338972,0.2018966044661963,-0.831743975111948,0.17293233082706777,-15.042478760619657,18.117647058823536,-5.1764705882352775,10.823529411764714,True
600152.SH,20130809,20140718,50,67.76412010487928,73.99968592474072,0.06759309468975648,0.3007986730918719,-0.08888527637451529,1.0,34.35087499474882,34.80662983425412,2.4861878453038626,33.97790055248617,True
600152.SH,20150130,20150403,10,36.93333333333334,39.599999999999994,0.07136482238079908,-0.0298767583717187,0.9617778062117153,1.0,28.23074041703092,91.23661148977605,1.5579357351509147,91.23661148977605,True
600152.SH,20151030,20171208,92,-15.040995348664419,62.51700342268091,0.07985898178058089,0.08142255014600731,0.0972956506001396,0.0,-19.034524900702664,1.886792452830182,-32.83018867924529,-24.905660377358497,False
600152.SH,20181130,20190419,20,33.652312599681046,41.786283891547065,0.07249020751417698,1.1041553257122143,-0.4178023420149409,1.0,24.554102259215302,-16.348448687350846,-29.236276849642014,-26.491646778042966,False
600152.SH,20190510,20210723,115,58.08000000000001,79.52000000000001,0.06831179078974696,0.09930180426111414,0.10891018306636172,1.0,30.999734818350632,4.554655870445337,-26.821862348178136,-26.821862348178136,False
600152.SH,20210930,20220408,27,-13.969571230982028,39.14246196403874,0.07941926321537543,-0.45092399748751916,0.1702586888798257,0.0,-15.712446642726446,-5.144694533762048,-17.363344051446948,-6.9131832797427615,False
600152.SH,20220715,20220805,4,10.079575596816985,19.761273209549064,0.07367494559143903,1.2739646443688257,0.09715246687725299,0.5100671140939604,31.090578851772964,58.43373493975903,7.710843373493962,44.698795180722875,True
600152.SH,20230602,20230616,3,-4.893617021276605,7.234042553191486,0.0728293278763479,-1.6174920208540948,0.27477550142496454,0.32352941176470434,-18.582942488957723,3.8031319910514525,-19.7986577181208,-19.7986577181208,False
600152.SH,20230630,20230707,2,-0.8620689655172422,0.8620689655172422,0.07495149463307262,-0.8230058854490672,0.32158415841584637,0.0,-10.484067136949683,-7.717391304347816,-22.391304347826086,-22.391304347826086,False
600152.SH,20240927,20250930,54,23.88591800356506,37.78966131907308,0.044523138204587476,0.5455647974634072,0.008545997186395522,0.7641509433962265,5.896693585250526,0.0,0.0,0.0,False
603320.SH,20190222,20210122,100,-28.011744465117484,74.58964785133216,0.07129077748641006,-0.11344255822343602,-0.2157219916589422,0.015094802731071024,-17.89801584095204,3.2258064516129012,-11.827956989247323,1.2707722385141662,False
603320.SH,20210409,20240223,146,9.905137755050914,90.69095283283922,0.07776044149680392,0.27272398606666154,0.1164130011328018,0.26800847457627097,-21.474413975357947,19.405594405594417,-2.0979020979020873,13.986013986013987,True
603320.SH,20240322,20250314,52,49.27995874260284,59.70697713724803,0.0733846431505502,0.27479156347027306,0.06784476370578166,0.9481063463223524,17.15559435109255,-0.8515167642363111,-16.711016498137308,-11.442256519425236,False
603320.SH,20250418,20250930,25,32.690223491672235,32.690223491672235,0.06364286536937984,0.5281412455752413,0.5650170063485033,1.0,10.73654550261525,0.0,0.0,0.0,False
601908.SH,20130719,20131122,19,45.360824742268036,48.89543446244477,0.07067459888190547,0.2412641164451063,-0.562928666795805,0.9789156626506025,33.17142278890925,-0.8105369807497611,-22.391084093211756,-13.475177304964546,False
601908.SH,20140103,20141010,41,24.639080984645265,44.52073778937899,0.07782191241630343,0.09282278461115176,0.34764294371782667,1.0,27.093539105980902,24.834123222748797,-7.962085308056875,6.824644549763023,True
601908.SH,20141031,20141107,2,7.285342584561999,7.285342584561999,0.07887956012233606,1.5965890399651632,0.5137187677562493,1.0,36.987818383167394,6.4672594987874,-12.287793047696027,1.0509296685529648,False
601908.SH,20151106,20160129,13,-23.68125701459035,40.74074074074075,0.06339763867400768,-1.0166042328729528,0.5534416467411305,0.28099173553719003,-12.009206425359118,2.9411764705882284,-8.8235294117647,2.9411764705882284,False
601908.SH,20160701,20170505,44,-26.713906339321085,29.847427236349233,0.050820032706934005,0.02621689203563866,-0.3266270802568902,0.0,-16.981132075471685,-9.818181818181815,-15.999999999999993,-11.81818181818183,False
601908.SH,20171103,20180914,46,-30.982007161385443,39.15252225907638,0.07968111406039195,-0.20635405709882132,-0.4092756700083628,0.0,-15.616747269263628,0.5208333333333274,-25.000000000000007,-13.802083333333325,False
601908.SH,20190308,20200710,70,19.482606818917038,52.572347000323504,0.07704409387585863,0.06827079678609793,-0.30993298937836267,1.0,40.154169586545365,8.199999999999996,-12.599999999999993,8.199999999999996,False
601908.SH,20210625,20210716,4,10.286320254506894,11.664899257688218,0.07820058148230788,0.4112291350531088,1.1981865582445497,1.0,24.208766272542835,26.538461538461554,-5.673076923076906,26.538461538461554,True
601908.SH,20211203,20220121,8,-21.863117870722437,23.574144486692003,0.07659949849395783,-0.7129298547653729,0.5780303265681366,0.0,-23.037310987313305,5.839416058394151,-17.88321167883212,-17.88321167883212,False
601908.SH,20220225,20220325,5,-13.67816091954022,13.67816091954022,0.07829130367723255,-1.1946478162080294,-0.5454345907041342,0.0,-19.342712920201876,-3.0625832223701686,-28.894806924101196,-14.780292942743003,False
601908.SH,20220819,20221216,17,-30.448383733055266,31.0740354535975,0.07409624765122569,0.36702744271427995,-0.5725905901928724,0.0,-15.881672017377339,6.89655172413793,-7.646176911544218,3.148425787106448,False
601908.SH,20230106,20230714,27,-12.547741161065048,20.539548079948847,0.07839969365699276,-0.6409505217752757,-0.4245426433023299,0.21218022770937697,-3.7458727557480134,-8.30564784053155,-22.259136212624576,-20.099667774086374,False
601908.SH,20241206,20250711,32,23.753665689149546,53.95894428152492,0.06320990312787336,0.3167855819125286,-0.5516685105194333,1.0,42.01581692747809,3.7914691943128,-11.84834123222748,3.7914691943128,False
603988.SH,20151225,20160108,3,-3.005416739472291,5.416739472304737,0.0788354650291319,1.0010696679378632,0.4840912669496049,0.0,25.317470171913612,12.538281390740408,-17.186092595928663,-13.150783642586925,True
