stock_id,start_date,end_date,start_idx,end_idx,duration_weeks,avg_convergence,avg_price,ma20_slope_start,ma60_slope_start,ma20_slope_end,ma60_slope_end,start_price,end_price,period_price_change,return_20w,return_40w,max_return,is_profitable_20w,is_profitable_40w,future_max_price
600000.SH,20100319,20100409,111,114,4,0.09225057307166995,3.7743543675000004,-0.040435899059530385,0.23249646018946132,-0.051333112069919064,0.23974412059282757,3.6605906000000004,3.8520159800000005,0.05229357798165139,-0.4210918875783066,-0.47089043488339843,-0.03836094158674809,0,0,3.7042490200000002
600000.SH,20100423,20100528,116,121,6,0.06722042716035985,3.2824974883333335,-0.05967899263988642,0.2286832267351153,-0.04426968890944829,0.1899040541851507,3.4238276300000003,3.21225221,-0.06179499754781767,-0.27593615072958416,-0.3480937164644367,-0.050182958703606714,0,0,3.0510518900000005
600000.SH,20110527,20110610,173,175,3,0.0923425738886946,2.020023316666667,0.007103540612912952,-0.16907050596296078,0.008544558874070688,-0.17242190043446548,2.18840126,1.90166682,-0.1310246184011062,-0.06776180698151944,-0.08213552361396313,0.04106776180698162,0,0,1.9797640200000002
600000.SH,20120224,20120621,210,227,18,0.07655862729162763,1.7684677066666667,-0.08303430843655633,-0.06968951506886381,0.01935809673437333,-0.05659133395378575,1.8567609299999999,1.64785092,-0.11251314405888532,-0.5702642627404668,-0.4197709219957834,-0.3161994593540051,0,0,1.12680135
600000.SH,20130531,20130607,274,275,2,0.08287872445107466,1.629115905,0.31929425156516783,-0.20110881219791693,0.3895532041011974,-0.18504590268442914,0.9872477100000001,2.2709840999999997,1.3003184276821462,0.11443850267379681,0.057754010695187215,0.27379679144385044,1,1,2.89277226
600000.SH,20140613,20141121,328,351,24,0.047061150237562875,2.449803412916667,-0.04317520810349996,0.2686090427882966,0.06499815260336753,0.07254000804712775,2.36328078,2.73331201,0.15657522928782078,0.7238183503243747,1.809571571743103,2.120141179930644,1,1,8.528319360000001
600000.SH,20160722,20180511,433,525,93,0.05337696749708876,9.484210702903226,0.010749918026103845,0.25624788289591927,-0.044810492212810804,-0.0011688775437363758,8.898752940000001,8.417867249999999,-0.05403967199026458,-0.14280514342869924,-0.0171743917677009,0.027266418343672622,0,0,8.64739234
600000.SH,20190215,20190621,563,581,19,0.06171649059288505,8.325197108421053,0.0049335262812375755,-0.08730940420888057,0.1029636827168914,-0.054087581110013036,7.66898522,9.40097847,0.22584386334232634,0.0049627791563276865,-0.13516073502931858,0.06728449937615896,1,0,10.033518599999999
600000.SH,20200103,20200103,609,609,1,0.09739450988808658,10.033518599999999,0.09479749659053292,0.09003299588428196,0.09479749659053292,0.09003299588428196,10.033518599999999,10.033518599999999,0.0,-0.15317460317460313,-0.20625850038290647,-0.016666666666666587,0,0,9.86629329
600000.SH,20200207,20200410,613,622,10,0.08319071946493405,8.471156418000001,0.08397019494861914,0.08954657877406594,-0.029766193482890897,0.05768894602079584,8.64793746,8.130335310000001,-0.059852670349907725,0.016907912743884004,-0.03399322776516599,0.136141038197845,1,0,9.2372076
600000.SH,20200424,20200925,624,646,23,0.06862968450562561,8.445799956086956,-0.046224293280097584,0.05113570446671985,-0.034597137036834306,-0.0027672982379127976,8.01088866,7.7751825100000005,-0.029423221318369986,0.13188413245363168,0.022513377631311664,0.13188413245363168,1,1,8.800605710000001
600000.SH,20201127,20220304,655,720,66,0.05793396913153363,7.883178463787878,-0.026149993950976825,-0.025931031501565394,-0.0721819151382975,-0.028222263382159656,8.374536599999999,7.115808,-0.15030426877589845,-0.1258860863024973,-0.13431418188911226,-0.02976190476190477,0,0,6.904028
600000.SH,20220701,20220708,737,738,2,0.09837055235504749,6.7218972,-0.07690106997768509,-0.06290163217115541,-0.07957803004242628,-0.06447453902687054,6.7684888,6.6753056,-0.013767209011264133,-0.060502644253470524,-0.004030125602039792,-0.004030125602039792,0,0,6.64840328
600000.SH,20221230,20240524,762,832,71,0.04044173693912557,6.340017089436621,-0.08513966804441934,-0.08024484606641043,0.04314885633884131,0.01825834104885642,6.23716184,7.57466368,0.21444077840378756,0.27734879180800825,0.2760903200919411,0.3402723776113584,1,1,10.152112500000001
000596.SZ,20170609,20170721,258,264,7,0.09689707570295696,28.334621825714287,0.09255832397065633,0.22551418970030848,0.06876434130677579,0.20844915219440335,28.041049029999996,28.607397309999996,0.02019711457278529,0.39217694040548856,0.5547818963751794,0.5547818963751794,1,1,44.47826344
