stock_id,period_start,period_end,duration_weeks,price_change_pct,price_range_pct,convergence_ratio,ma5_slope,ma10_slope,ma20_slope,ma60_slope,position_in_range,close_to_ma20,close_to_ma60,volume_ratio,max_return,min_return,final_return,is_profitable,max_return_5w,max_return_20w
000001.SZ,20140130,20141212,46,55.892272184153015,71.96397939243042,0.06802018956782649,0.8043738253577898,0.4525711687017481,0.24938703742557827,0.5254595327531092,0.908314922917602,27.28268809349888,40.757464548261304,0.6372840750184582,13.629842180774753,-3.084648493543752,0.35868005738881736,True,13.629842180774753,13.629842180774753
000001.SZ,20151016,20160608,34,-6.500445235975073,24.577025823686576,0.0702108663928682,-0.1122420068434932,-0.1773917620739572,-0.529402466748178,0.5002016268071516,0.2572463768115942,1.1999421714615937,-13.357996506814477,0.45860201628425895,-6.231090088800848,-15.49952072145355,-6.231090088800848,False,-11.358307034523609,-6.231090088800848
000001.SZ,20160805,20170804,52,38.18088173490322,42.71627996499169,0.06296002019735515,0.5198710747398133,0.25295126186072286,0.002255783390192494,-0.2566999233065029,1.0,29.479237336531845,33.36826253408093,0.5401615060513895,2.864816472694738,-10.295434198746637,2.775290957923018,False,2.864816472694738,2.864816472694738
000001.SZ,20170825,20170908,3,3.420342034203436,3.420342034203436,0.07901650582698272,0.4923959112440874,2.0258115034944364,1.2183773676786658,0.46408736293702324,1.0,23.53334095706534,33.403019956387546,0.846563846048475,26.718885987815476,-3.3072236727589353,26.718885987815476,True,-0.08703220191471783,26.718885987815476
000001.SZ,20180330,20180706,15,-20.55045871559633,26.69724770642203,0.06845798362946716,-1.1544659300184148,-1.1445389143230875,-1.0582627393072717,0.32316819872659963,0.0,-19.996304679199962,-21.922987371709336,0.7890157692731024,16.991641432290454,-3.518134909403301,13.642423661770774,True,1.7247631610944498,16.991641432290454
000001.SZ,20180921,20190419,29,38.05060918462983,50.14058106841613,0.07202947550357364,1.1864572071324913,1.2643388591720999,0.6693150076856059,-0.1401744606138228,1.0,28.25982846445217,36.876029890081206,0.8807754727779474,1.3093505388185258,-19.076714188730488,1.3093505388185258,False,-5.974202308214541,1.3093505388185258
000001.SZ,20190524,20190712,8,23.81429799761182,27.296079374130045,0.07506258112509762,1.211106513105161,0.04323658845753279,1.0426054212280833,0.34529379250197967,1.0,15.13992128697037,37.24376363220776,0.6581572482972735,8.640226628895189,-2.6912181303116096,8.640226628895189,False,5.524079320113317,8.640226628895189
000001.SZ,20200214,20210115,49,44.758889775625065,61.73394315126578,0.0734385842603214,0.47959762782566245,0.38915326825677554,0.21016947293259922,0.34478754912849097,1.0,25.763538563137168,43.0667322171681,0.9203458065844121,18.71428571428571,-2.52380952380953,0.6666666666666761,True,18.71428571428571,18.71428571428571
000001.SZ,20210806,20220218,28,-6.103023516237398,26.53975363941769,0.0755793080355614,-0.5408391730394574,-0.7288391313345739,-0.6625888951358694,0.30847633334131386,0.19831223628691996,-5.622150937025134,-15.901616601794228,0.8771166073935379,-2.0870602265950957,-12.343470483005369,-8.646392367322598,False,-5.187835420393556,-2.0870602265950957
000001.SZ,20230106,20231201,46,-33.19096431866839,36.67933641169166,0.07256726083039072,-0.5305246512368478,-0.3493037049417249,-0.2057289850117973,-0.41778869445213845,0.0,-12.591050988553585,-19.527990342942864,0.7445663061561828,0.10351966873705094,-5.072463768115954,0.10351966873705094,False,-2.795031055900625,0.10351966873705094
