stock_id,start_date,end_date,duration_weeks,avg_convergence,ma20_slope,ma60_slope,start_price,end_price,price_change,is_profitable
000001.SZ,20140411,20140627,12,0.04432134822681636,,,3.5178918,3.8632763800000003,0.09817942098162319,1
000001.SZ,20140725,20140725,1,0.07791171734472627,-0.05601361444300512,0.09062200447983791,4.02063998,4.02063998,0.0,0
000001.SZ,20141010,20141107,5,0.06988053224211717,0.1430065261385771,0.10987204551812418,3.9970354400000003,4.29209219,0.07381889763779519,1
000001.SZ,20151218,20160122,6,0.05080627289446121,-0.17191518482952603,0.19818365731167886,8.11882435,6.903988,-0.1496320523303353,0
000001.SZ,20161209,20170721,33,0.04508186820759452,-0.05191674160660964,-0.102061374165544,6.63226165,8.369999550000001,0.2620128685664868,1
000001.SZ,20190125,20190301,5,0.06012743915113665,0.0649735243056452,-0.026148398826928407,8.455777000000001,9.80870132,0.15999999999999992,1
000001.SZ,20200529,20200605,2,0.06782197362546118,-0.07942098813704976,0.11700315125811747,10.990824,11.48963832,0.045384615384615315,1
000001.SZ,20200703,20200918,12,0.06736425127012695,-0.14472978035183692,0.07493442143313311,12.047634,13.58634936,0.12771929824561398,1
000001.SZ,20200930,20201016,3,0.07468970117679771,-0.04761436240902445,0.03980241537885613,12.82544616,14.4571608,0.12722478576137114,1
000001.SZ,20211022,20211119,5,0.05290946352171888,-0.10637929830359552,0.14191104661345713,18.458803919999998,16.717928699999998,-0.09431137724550896,0
000001.SZ,20230324,20230324,1,0.075912314042924,0.018321013785704516,-0.12225625819006658,11.20874394,11.20874394,0.0,0
000001.SZ,20230901,20230901,1,0.07985132955853577,-0.11358036234689266,-0.09867056900677496,10.0073894,10.0073894,0.0,0
000001.SZ,20240517,20240930,21,0.03292476831914891,-0.04651815799326116,-0.0767573926756333,10.0957939,11.47109964,0.13622561569922698,1
000001.SZ,20250411,20250620,11,0.06240209375023447,0.08332075147575119,0.08300459752315203,10.5627555,11.84,0.12091963124584301,1
000001.SZ,20250926,20250930,2,0.0644887155985642,0.07758106060782997,0.07623945434637815,11.4,11.34,-0.005263157894736885,0
000002.SZ,20100416,20100416,1,0.07053027911696966,-0.16900589652022252,0.181647131110578,1.9232328799999998,1.9232328799999998,0.0,0
000002.SZ,20140321,20140430,7,0.04971332928112642,-0.18220581353023768,0.29660872782683734,2.33453853,2.3024787000000004,-0.01373283395755292,0
000002.SZ,20170505,20170630,9,0.050842757784218005,-0.15290394179785446,0.3525969430710536,11.550007149999999,15.267531949999999,0.32186341979883537,1
000002.SZ,20170818,20170901,3,0.07428855922679091,-0.00803979014785034,0.18931579577931046,13.952946699999998,17.130622080000002,0.22774224314925565,1
000002.SZ,20190201,20190322,7,0.07184782113540515,0.02404910327694329,0.013261051374611754,21.65154512,22.83268071,0.05455202312138729,1
000002.SZ,20191011,20191213,10,0.0634531436630286,0.019713291043441997,0.03416989441787419,22.82005537,23.960632549999996,0.049981350242446744,1
000002.SZ,20200403,20200410,2,0.07721439594488796,0.11108203247499471,0.09489499253430225,23.54707939,23.64383616,0.004109077325364169,1
000002.SZ,20200430,20200430,1,0.0790751131157303,0.1101178833938191,0.08611373728770161,23.5734676,23.5734676,0.0,0
000002.SZ,20200529,20201127,27,0.04268112861662368,0.039001471949525475,0.05866090033575009,22.6058999,28.286840700000003,0.2513034572890417,1
000002.SZ,20201225,20210226,10,0.05037455460819999,0.09099043477791338,0.04127498614451693,25.145847000000003,29.754351300000003,0.18327099103084493,1
000002.SZ,20210430,20210604,6,0.06913841292738071,0.04614550424966264,0.02092378706434405,25.322660910000003,23.668642589999997,-0.06531771388001442,0
000002.SZ,20221209,20221216,2,0.06947714757219345,-0.07709170695034889,-0.08442004090066416,19.58112024,18.54751272,-0.052785923753665705,0
000002.SZ,20230113,20230317,9,0.06254578962851734,-0.024476996129621027,-0.05347242262627631,17.97328632,15.216999600000001,-0.15335463258785934,0
000002.SZ,20241227,20241227,1,0.07322295805739523,0.07687723480333716,-0.1677647914624489,7.55,7.55,0.0,0
000002.SZ,20250321,20250403,3,0.07391817807701707,0.032765138953372915,-0.13943886984149784,7.36,7.14,-0.02989130434782617,0
000858.SZ,20190125,20190222,4,0.06307410819309411,-0.08491711683419013,0.09277099210326473,34.88567875,43.251927499999994,0.2398190045248868,1
000858.SZ,20230621,20230922,14,0.050152207722853115,0.07743676249576095,-0.03352967163197197,156.49745560000002,149.89845327999998,-0.042166834564178295,0
000858.SZ,20240607,20240614,2,0.0698919514293389,-0.033583810778106876,-0.0797980376525781,133.42012156,127.17747712,-0.04678937754671917,0
000858.SZ,20241011,20241011,1,0.07269754166556915,-0.07546059096215213,-0.08661112293833627,142.90751925,142.90751925,0.0,0
000858.SZ,20241213,20250124,7,0.05785514885932208,-0.0213995887049177,-0.0572370918420612,141.3700578,124.5729792,-0.11881638064945323,0
000858.SZ,20250221,20250620,18,0.03904392921202705,0.08754096709524208,-0.026753422557035705,127.88920320000001,116.61404160000001,-0.088163514338011,0
000858.SZ,20250718,20250930,12,0.04931083227519728,-0.06581336995251603,-0.022652643092085124,123.78,121.48,-0.018581354015188213,0
600036.SH,20090724,20090731,2,0.07870941175474178,,,0.786708,0.79235616,0.007179487179487197,1
600036.SH,20091106,20091106,1,0.05690225834246123,0.018666347720057586,-0.17312993336969568,0.7596775199999999,0.7596775199999999,0.0,0
600036.SH,20091231,20100305,9,0.058689740967801156,-0.09344567186772285,-0.07930039007775856,0.7282092,0.65034528,-0.10692520775623265,0
